,Actual,Predicted,Diff
0,0,0.3,-0.3
1,0,2.63,-2.63
2,2,2.23,-0.22999999999999998
3,2,1.32,0.6799999999999999
4,0,17.23,-17.23
5,83,26.05,56.95
6,83,50.75,32.25
7,0,0.02,-0.02
8,0,0.19,-0.19
9,1,0.56,0.43999999999999995
10,24,22.14,1.8599999999999994
11,0,0.53,-0.53
12,0,0.14,-0.14
13,0,4.05,-4.05
14,0,16.09,-16.09
15,84,57.48,26.520000000000003
16,3,19.02,-16.02
17,0,0.22,-0.22
18,1,0.97,0.030000000000000027
19,0,9.13,-9.13
20,13,19.22,-6.219999999999999
21,2,1.19,0.81
22,0,4.45,-4.45
23,1,0.92,0.07999999999999996
24,56,49.21,6.789999999999999
25,2,1.9,0.10000000000000009
26,0,3.18,-3.18
27,0,44.8,-44.8
28,13,16.98,-3.9800000000000004
29,12,9.75,2.25
30,24,22.81,1.1900000000000013
31,0,0.06,-0.06
32,6,6.01,-0.009999999999999787
33,0,0.34,-0.34
34,6,12.38,-6.380000000000001
35,4,16.07,-12.07
36,0,0.08,-0.08
37,0,0.23,-0.23
38,0,0.41,-0.41
39,3,26.4,-23.4
40,6,6.91,-0.9100000000000001
41,1,1.05,-0.050000000000000044
42,1,0.74,0.26
43,56,44.05,11.950000000000003
44,0,0.05,-0.05
45,0,0.95,-0.95
46,1,0.67,0.32999999999999996
47,13,12.39,0.6099999999999994
48,34,2.0,32.0
49,12,9.77,2.2300000000000004
50,2,1.06,0.94
51,34,18.75,15.25
52,8,2.05,5.95
53,58,35.63,22.369999999999997
54,9,11.25,-2.25
55,6,7.91,-1.9100000000000001
56,1,1.46,-0.45999999999999996
57,34,15.57,18.43
58,2,1.11,0.8899999999999999
59,44,25.77,18.23
