,name,prediction 2024
0,Ainias Smith,0.7591666666666667
1,Javon Baker,2.4973333333333345
2,Xavier Worthy,5.026833333333334
3,Jordan Whittington,0.38833333333333336
4,Rome Odunze,5.767333333333333
5,Malik Nabers,4.720833333333334
6,Ladd McConkey,4.312333333333331
7,Ricky Pearsall,7.501333333333333
8,Keon Coleman,5.481833333333334
9,Malachi Corley,4.708
10,Ja'Tavion Sanders,2.073333333333335
11,Jermaine Burton,3.0070000000000006
12,Theo Johnson,2.060500000000001
13,Erick All,2.888833333333333
14,Tip Reiman,3.0634999999999986
15,Jalen McMillan,3.7375000000000003
16,Troy Franklin,2.9001666666666663
17,Devontez Walker,3.419499999999999
18,Anthony Gould,1.1928333333333332
19,Jared Wiley,1.6085
20,Jamari Thrash,1.3325000000000007
21,Jha'Quan Jackson,2.9489999999999994
22,Jacob Cowing,3.015333333333333
23,Tejhaun Palmer,1.5855000000000001
24,Casey Washington,1.6063333333333334
25,Johnny Wilson,1.725833333333333
26,Jaheim Bell,0.4528333333333335
27,Tanner McLachlan,0.3431666666666667
28,Adonai Mitchell,3.5523333333333325
29,Tahj Washington,0.4575
30,Devin Culp,0.27216666666666656
31,Ben Sinnott,4.135
32,Devaughn Vele,1.4188333333333336
33,Xavier Legette,3.6609999999999996
34,Luke McCaffrey,2.648333333333333
35,Malik Washington,2.5266666666666664
36,Marvin Harrison Jr.,4.385833333333334
37,Cade Stover,2.0943333333333336
38,Roman Wilson,4.244
39,Cornelius Johnson,1.6755000000000002
40,Brenden Rice,1.1738333333333335
41,Brock Bowers,4.582
